c this is a generated file
p cnf 4400 20000
664 -1573 -3079 -3796 0
-3054 -2349 -1028 1595 0
-3269 345 4145 3874 0
3893 2096 3934 -50 0
-2613 78 1624 2940 0
-1901 952 622 2171 0
3838 -1521 1154 2975 0
-2854 -4348 4230 -681 0
4108 -1783 -1794 3662 0
-3542 -1246 -2374 -3146 0
-2022 1472 302 1979 0
-2383 -3473 -2003 -3534 0
-4327 -3784 4125 4356 0
-1451 -3378 3235 1153 0
-3033 -1151 1585 2082 0
-2657 1443 -1952 -556 0
1846 -235 3797 396 0
-312 -2135 3530 51 0
3141 2150 -2907 -2876 0
-3241 2296 -876 937 0
-1407 -2073 1120 -784 0
2248 -3390 -3870 1443 0
2329 -2665 -3375 1894 0
-3597 -2941 1985 2414 0
-452 -3667 -3561 -3619 0
4286 137 -3902 -1972 0
-836 2667 -323 3428 0
2261 3802 -1856 3749 0
2755 2766 -2034 2607 0
-1921 -4233 4346 -2937 0
-1729 -2124 1449 1308 0
-117 -2845 3707 4344 0
1042 -1060 -982 -4242 0
2950 -1679 -3272 1683 0
4393 -2424 -869 3544 0
3920 -3824 -2595 1542 0
-1964 2118 -4140 -2768 0
-1516 -3823 4121 2081 0
-3955 -45 -1100 2485 0
-1026 -3454 2296 -1245 0
-1087 -3374 2618 3852 0
-1834 -638 -4063 -11 0
2521 786 1289 -1287 0
204 -3975 1516 597 0
-4224 -4333 2983 -3064 0
2085 -2996 1020 126 0
-3469 1167 -884 2186 0
-4104 -2978 -1164 1390 0
-4398 430 674 -4346 0
-409 -4032 3921 -3432 0
1214 2954 -1098 382 0
1760 -195 570 2593 0
-906 3021 3325 1188 0
-2681 -1060 3086 -1209 0
-1975 372 -131 -2381 0
3510 698 4059 738 0
1446 3743 1008 -2902 0
2723 -4014 2131 578 0
-1467 2905 -3454 3300 0
-749 2145 -2517 -2756 0
-263 -1825 -4320 -2098 0
516 2980 3511 3045 0
-764 2490 -4293 4291 0
3621 -482 -4283 -3147 0
-297 3338 -507 -353 0
-1079 -200 3364 829 0
-1136 2124 -4371 -4387 0
3267 3434 2231 2949 0
-2916 -230 3937 -1780 0
577 2527 4044 -4259 0
1473 2213 -374 -3137 0
-1561 658 -1917 2803 0
-926 -1487 2858 -125 0
4009 1027 4067 2884 0
-709 3951 -561 -3962 0
637 2455 -3598 -1817 0
-316 2240 -1651 1627 0
-220 -205 3198 3554 0
-260 -81 1770 2657 0
353 -2255 -2831 1650 0
3848 2064 -3002 -4265 0
616 1749 3339 -3929 0
1335 2503 3796 -3602 0
-1179 -4353 -3436 2779 0
3796 2394 3038 -2701 0
268 -1626 -708 -528 0
1459 3012 3722 165 0
189 2299 -2118 4276 0
3541 -3522 -3972 -4056 0
2190 3210 -1451 -1921 0
-4023 -407 1232 3720 0
-1755 -3475 -1457 3106 0
3682 -1672 1437 -947 0
3244 2585 -99 -1000 0
185 -2773 -3278 -997 0
-50 2803 -2461 3750 0
-678 1622 829 2985 0
-3045 1950 -637 4343 0
2865 -721 2790 2190 0
-3977 -2707 -771 -1006 0
-1691 809 1695 -68 0
-3907 3968 -1791 1787 0
2083 3389 533 2928 0
-2576 -3883 -3651 -742 0
2534 1123 1292 879 0
361 -3334 -2234 -1587 0
-2161 1498 -182 -2435 0
-4045 -472 151 -1046 0
1083 -30 -4284 2430 0
1544 -4233 1652 3069 0
-1702 3041 3508 -434 0
2525 -2324 3855 3809 0
-1307 -513 411 385 0
-1078 -693 -641 -2411 0
2004 3684 602 3399 0
-1909 -4371 -410 -1752 0
2251 -2814 -3290 115 0
1396 -4158 -4313 -3328 0
-3554 4145 -3770 -1997 0
3902 3477 -3896 1406 0
-633 1684 -2332 295 0
-4308 2595 -2403 255 0
-274 -1983 1040 -4056 0
3903 -1199 31 -3281 0
-2227 3524 -2001 -1194 0
-1265 390 -1930 -3888 0
3565 1535 3050 541 0
539 -1315 2064 -4002 0
2369 -40 -3937 64 0
-3885 -475 3977 3915 0
279 -3643 -2034 3909 0
-3425 -1149 4228 2724 0
195 3030 -560 -2931 0
2402 -3636 3150 -2738 0
-3345 -1570 1072 -3737 0
3865 3467 -3109 -3196 0
372 -3592 4036 3361 0
-1045 -3925 -4018 -3152 0
-2994 426 -4313 -2861 0
-280 -1944 -1775 1552 0
-1858 -272 1319 1561 0
-2750 -2903 760 -4072 0
2173 -469 1373 3247 0
-1311 1308 -3357 -3913 0
-3521 -2119 -2586 -3363 0
3560 3922 1860 676 0
-1224 3948 -325 1559 0
4021 -2908 -2228 -3349 0
-3905 -4316 471 729 0
3589 -1943 2971 -2925 0
-3902 2058 -3356 3652 0
712 710 -9 867 0
98 4307 3766 -2276 0
-3150 2373 -511 4243 0
233 -390 -1961 -2490 0
3044 -437 -894 2047 0
-1721 -4235 2169 -1808 0
-1478 -4256 320 -1262 0
3525 2050 1077 2425 0
2475 4274 1428 -1430 0
2760 -2713 2498 2953 0
-3598 -3050 -756 985 0
-1701 2747 912 3486 0
2361 -1799 -3816 730 0
-2174 -4371 -4330 -2274 0
-781 -1103 -900 1626 0
2093 -3772 -2427 -182 0
-2956 102 1839 -246 0
698 1260 2963 -4230 0
-2919 -2064 -1745 2925 0
4029 -1449 3306 -1320 0
2980 -1949 -4155 4233 0
-473 -3530 4357 -1496 0
-1807 -4045 -2342 -4140 0
-3316 3976 2131 -2690 0
-209 2804 -1326 1852 0
2878 3532 -2464 -3856 0
2467 3535 3901 1494 0
-1969 4182 4348 2984 0
-228 -3507 1136 -1980 0
1101 1146 3380 2611 0
-1658 1406 -1777 -3866 0
3210 4001 1485 586 0
506 -1603 1679 -28 0
2334 -2079 -12 -838 0
1466 -2378 1169 -1489 0
3498 4241 -1000 2737 0
1623 -161 3194 -3278 0
-4023 1670 -3991 953 0
-3137 -3086 4334 -1281 0
-3733 -2510 3438 3719 0
3225 3357 318 2862 0
-1084 2323 -2123 71 0
-1887 -517 3516 -1212 0
4007 -3019 -1727 3809 0
1281 -4204 -1683 -3518 0
1995 1882 420 -1266 0
-2366 1413 -3270 3470 0
-588 1629 -3844 2155 0
1504 3174 -3936 1817 0
3752 -2906 -4271 -907 0
-9 1373 2479 1324 0
663 3778 -1764 627 0
1740 1354 -843 -77 0
3307 -1599 3412 4292 0
-1984 -199 -1120 1386 0
2509 2762 328 3637 0
212 -711 2425 4050 0
3489 588 3660 -402 0
3668 -288 759 883 0
-964 -669 2203 -3209 0
-2129 3804 -486 -969 0
3428 -2508 2056 3202 0
1431 2672 3963 -3539 0
437 -699 -3115 -1161 0
2059 -1837 -2479 166 0
-4350 3797 144 -3023 0
2376 1496 -1743 1505 0
-2145 -3050 -1127 -312 0
2310 -1659 657 -2739 0
-1175 105 -3572 -3311 0
-1486 3102 -1883 2616 0
-4226 4199 -1588 -2008 0
-541 -3947 2145 -1820 0
-107 3350 403 486 0
3693 -1901 -3395 -1177 0
227 -3986 -2202 -2606 0
-3071 -3397 -1620 -359 0
1703 -1639 -2059 -3873 0
467 49 1896 4198 0
1244 2667 -182 -1098 0
2739 2830 -968 3820 0
1416 2719 3977 -2643 0
99 -2156 -2391 1803 0
2416 2459 -2044 -1815 0
4080 -420 -3405 3657 0
-3627 986 -2303 1060 0
-4058 529 -1123 -3598 0
194 -3992 -2164 -4370 0
1382 -1695 4136 -3570 0
3936 -2744 2530 -3055 0
4212 -4015 -2405 -4320 0
-2781 2568 1433 4246 0
-1974 -3424 -3230 -1069 0
-2652 1669 -1 -401 0
2553 -4359 2600 -2076 0
3236 -870 3820 81 0
1652 3375 659 -3103 0
407 3121 226 3225 0
1458 971 -2140 3756 0
4077 -1234 -4370 2180 0
1080 3775 -2620 -1517 0
-2458 -811 -369 -2348 0
-2187 -1462 -2712 -460 0
-2719 -4143 3627 3722 0
-1952 3768 -606 4198 0
-1478 -3629 2428 2796 0
622 2963 2176 -3262 0
-262 2002 -3592 -248 0
-3734 121 1993 2837 0
-208 2477 -280 3048 0
2029 865 -1861 -1723 0
1334 -1606 160 4320 0
-4358 2694 -4264 -2350 0
4231 3526 3203 4168 0
-2631 2507 -4 357 0
982 -290 3135 -114 0
1788 4325 2971 3202 0
-210 -3043 -75 -4003 0
-3033 -3668 -3953 2910 0
3536 -389 2488 -2261 0
-3806 2719 -961 -1523 0
1878 2669 3233 -3459 0
-430 2347 -2785 -395 0
3963 2996 -1398 3685 0
-4106 1553 1489 -2786 0
-3381 525 -839 1385 0
3710 3259 3303 -2914 0
-2947 -3884 -2334 -3990 0
-2955 3598 -822 -626 0
1734 3087 3042 2597 0
-1413 -4120 -3930 1399 0
2261 -606 1027 -3031 0
-1675 -3571 -3834 2362 0
2276 1108 -1964 -4140 0
-2218 1337 3259 -4027 0
1979 549 3468 -382 0
754 -4148 -3118 -228 0
-526 2150 1581 -1321 0
3584 -253 -2752 -1951 0
825 250 1280 -2839 0
2218 -3615 -1632 -4239 0
-2002 3099 -4292 509 0
-3913 -2672 4266 -1625 0
-2427 -3765 3199 -854 0
-1990 -379 -3309 234 0
2 1133 3326 -1473 0
831 -4028 -4116 3054 0
-1518 -1525 -2630 -110 0
4146 481 3121 -2029 0
1840 1980 -2086 2534 0
-2139 -3473 839 -3444 0
4277 -116 -1570 3898 0
1080 -2662 3126 -938 0
-248 -1688 4103 1047 0
-2195 2037 -1034 3051 0
-216 1102 -423 2609 0
-2268 1165 3169 3500 0
-3992 2875 3315 -109 0
3902 -986 -999 115 0
-1357 3561 -2472 1303 0
-411 3994 -1823 -4082 0
1318 682 3870 -1742 0
-1196 -612 -158 1636 0
-4313 2463 1628 3287 0
-4122 972 3198 -2494 0
3484 -1791 4039 -1504 0
-1599 719 -3824 2950 0
572 1204 2487 2877 0
2671 4029 -2182 3207 0
3866 -744 356 -1066 0
-3889 -2071 4130 -1643 0
2643 2980 3557 -3009 0
-1909 -3095 -945 2591 0
-4000 888 -3699 2927 0
-3969 3898 -3331 -869 0
-3539 -4067 3658 4269 0
4246 2540 4183 2377 0
3166 -4018 2016 -402 0
3835 2510 2118 -2053 0
-2321 -3384 3633 1779 0
-3353 1326 -1905 -1814 0
-594 150 -1393 -3548 0
-1026 1259 -3437 -755 0
-1922 -954 864 -224 0
-3708 -510 3407 -577 0
-24 2417 509 3575 0
-2375 1697 1263 3482 0
1762 -3700 -2433 3436 0
-2008 -483 -4281 1677 0
3859 -1461 -4318 -38 0
-3170 1035 468 3497 0
1362 2665 4221 2380 0
157 2844 -4029 3944 0
-3804 3272 -2792 -3674 0
-2952 -2197 -883 3844 0
737 1514 2474 206 0
3109 4350 -3982 -390 0
935 -3525 1566 -2938 0
1913 -1121 -1162 178 0
-1306 1770 -2160 -3961 0
3798 1665 -3355 1075 0
2622 1787 1876 -2855 0
-3173 -50 -1938 3155 0
-1064 -3034 2703 2669 0
2857 2592 2032 -667 0
992 -3336 -3700 -2265 0
-2390 -179 -3754 3687 0
3780 -2489 1221 2208 0
-2737 -2335 -2236 -1930 0
-3813 1145 -254 2013 0
3111 -3451 166 -332 0
1560 3869 3100 -2642 0
-3113 -100 3821 -3960 0
971 2458 -1768 3240 0
-2530 -1940 1 3909 0
350 401 3786 -1749 0
-1024 -1803 4376 2786 0
2528 -2132 3856 2172 0
-2592 -283 -3168 -4375 0
4348 -4244 -1276 -1295 0
1675 2901 3074 -2272 0
-799 273 1838 1066 0
-3140 4276 67 1224 0
-2450 4190 3676 -1441 0
4112 2254 787 2560 0
-793 619 3225 -1855 0
1072 3655 -3168 1121 0
3369 -139 1655 2133 0
-1868 -1067 4338 170 0
-1524 -1833 2112 4164 0
-262 411 3001 -1947 0
58 4246 -3209 -2845 0
-3373 -2988 -3970 1095 0
-3889 1734 1703 -599 0
516 3131 3956 -3051 0
-2323 -1659 -4026 -2992 0
2158 2774 3484 -1142 0
-741 -1661 -1806 3332 0
18 -231 -3937 1428 0
-2474 1066 -971 2809 0
2938 -22 -48 1814 0
-4249 2983 -372 -830 0
-619 -3805 -3251 3772 0
2663 3818 -2491 -3815 0
-4332 -3084 -382 3752 0
4211 -4304 4300 2215 0
2247 -2891 -2309 -2337 0
1637 -2362 -540 -2414 0
-1381 -3519 -2310 3886 0
3222 2842 500 2585 0
-4356 -46 -3344 -320 0
-4177 3230 2191 3674 0
4224 4092 4304 4082 0
2450 -366 2086 820 0
-4180 3178 -3933 1716 0
-243 -3391 221 -2646 0
-1866 834 -2639 -986 0
426 1741 1162 -291 0
1534 1552 -1600 3447 0
-3756 -1096 3829 -2613 0
-1678 2183 881 3046 0
-2646 3867 -2933 2565 0
-2696 2692 -2500 -3774 0
-1482 4104 -4151 -1238 0
-545 2618 -1546 3984 0
4197 3045 1511 3922 0
4378 -230 -9 2947 0
-3130 3387 1797 -1380 0
-2044 2386 1478 -223 0
-1270 1487 -327 -3025 0
2159 1884 3606 2102 0
-2675 -2875 2103 -514 0
-2264 978 -4378 -1826 0
-1929 -2725 -1439 -4395 0
-4231 1161 399 3934 0
1967 3410 -660 3980 0
-502 -173 -3458 1545 0
-71 4382 -2679 -4369 0
3632 4316 -1687 -300 0
-1632 2951 -2850 25 0
-1115 2843 -1870 -155 0
-4200 3624 2864 1851 0
-2958 1985 1602 -1483 0
-1872 726 1434 -54 0
-1249 -590 1280 2013 0
1469 -970 -3111 -1044 0
-1378 -356 1688 -1313 0
-1364 385 3817 -535 0
4082 -402 -1957 3185 0
2741 1663 -2502 -3109 0
-2266 2032 1236 2452 0
-1287 3126 3156 161 0
2869 2101 138 1116 0
-1907 -1905 111 -2224 0
-3039 -3152 2129 -1127 0
2567 279 -188 771 0
-1775 -3835 2387 2833 0
1242 1480 1291 -825 0
412 -3331 1762 821 0
4019 1057 -106 1547 0
1495 -1195 3721 3816 0
-3747 2653 3064 -1586 0
-516 -2573 -1343 844 0
-1974 58 -2117 -3150 0
1652 3561 4116 -3726 0
-2132 -1725 -1351 -3261 0
3999 -2063 -3355 -2790 0
-2025 3912 1777 -1322 0
-3734 2579 1899 -2654 0
-190 -3794 -3119 3816 0
-2096 -1537 2894 3720 0
2221 3183 -3630 2457 0
-4071 -336 -1620 -939 0
2934 2508 3500 -3190 0
1089 -1412 -4257 -3917 0
2641 2212 -9 2079 0
791 -3391 -2569 2317 0
3259 1855 3352 -4127 0
-3071 -3705 381 -3088 0
4332 46 -1419 -1512 0
244 1319 -1519 -2468 0
164 3668 -1111 896 0
-495 -1156 170 -4311 0
-1547 2366 4291 -1554 0
-53 -1697 467 -2978 0
1695 1317 137 -3775 0
-3040 764 -4276 676 0
2669 -3857 2834 -294 0
1823 -1454 -1392 -1939 0
-4063 1555 1837 -965 0
2403 4020 246 763 0
25 -1882 -2542 4375 0
-1079 2926 1196 -3649 0
2903 -3661 1382 -3479 0
3147 1969 -2853 1396 0
1270 -1747 56 -2128 0
528 -3131 -1929 320 0
2585 -2700 4144 2730 0
-3997 -1741 -677 1541 0
328 1294 2693 3299 0
-2081 -2928 -3708 3426 0
2229 -33 2128 -279 0
3529 -2960 -2967 -194 0
2689 -2705 1464 -4011 0
-4058 2823 2253 -2639 0
-1654 -1332 3135 -2817 0
1511 1306 3545 820 0
4031 -2524 -4014 2976 0
-1753 -1330 285 1648 0
-1198 1145 109 1263 0
-420 -4332 -1022 -1288 0
3163 4119 -3022 -990 0
-2527 -1782 604 836 0
-3035 2716 -2722 2663 0
17 -3512 -1303 -4183 0
789 -666 -2042 -1382 0
-3544 -514 -3027 -4022 0
-975 -3457 2734 2784 0
3855 2827 -2999 -3633 0
-4211 2448 2326 -1660 0
-1598 1356 438 354 0
811 -634 4197 1685 0
-33 -3449 1654 2543 0
4229 2350 -1923 -3688 0
-3721 -1233 4399 -705 0
-2262 3230 -3623 2604 0
1791 1564 3130 786 0
3151 -2695 1221 -3112 0
-3557 1178 3708 -3915 0
183 3396 -4397 -1784 0
-3646 -2167 1344 -658 0
-1127 1144 -4195 631 0
977 -2490 -2825 3230 0
1255 -1326 -2475 -4356 0
-3978 52 3804 -2831 0
-394 3834 -1234 -2798 0
2736 -192 4123 -4035 0
-163 -3018 -1477 -2983 0
-326 -2725 684 -203 0
2309 -1701 -704 -1798 0
-668 -1628 2524 1814 0
4116 -1173 -2338 -2537 0
-2136 4385 1611 3594 0
-3814 1123 187 -2548 0
775 4246 -2252 -818 0
-587 -4115 -599 276 0
2493 -1085 -2334 633 0
2407 -362 -2986 -2229 0
1539 702 1640 -2040 0
1294 3901 2948 3460 0
4361 1997 -2660 2376 0
2507 -4169 3191 2069 0
3424 2723 3170 -359 0
-1636 -4259 -242 -4322 0
-3345 -171 -2923 515 0
-2746 1504 964 -4227 0
4220 -354 3697 1393 0
-2912 3313 3041 1253 0
-4129 -3603 753 -431 0
2682 -1410 -2074 -4046 0
-1678 -850 -1539 1350 0
-2227 -3759 275 3984 0
-1877 134 3970 -2838 0
-1640 -8 -2877 -2144 0
-3772 -3300 389 2203 0
1605 -3317 3479 1357 0
-472 -2540 -1917 -4304 0
-1550 -1182 -3336 -1948 0
-601 2266 1959 -1044 0
-2809 3217 -3587 -2948 0
801 -873 4358 -2608 0
2928 -3025 2835 4309 0
-4161 -1134 1251 2273 0
-2155 -2328 -1577 -2795 0
1815 3617 -2891 -3127 0
1285 1416 -4329 2174 0
709 -1592 85 -3251 0
4341 659 -1172 2130 0
3077 4153 3475 1776 0
2154 1773 -1075 2013 0
1871 2654 -1231 1658 0
2073 -1850 3158 3304 0
-292 -2935 -2714 209 0
-3534 -1391 3852 -1803 0
-81 2957 4013 481 0
-1971 1494 -3152 -3509 0
-908 -1664 -3518 1962 0
-4109 -3821 -1666 -926 0
4193 689 -3353 -1097 0
38 -1693 -1179 3493 0
-827 -207 -3954 3961 0
-2048 -3042 2698 -2177 0
-3000 46 -539 -963 0
-4142 534 1562 -3181 0
-980 -792 2292 -1139 0
-3149 -2655 2522 679 0
3614 -98 622 -850 0
-220 -137 536 -450 0
-2507 -4167 -3332 -2297 0
-1487 -1752 -6 2005 0
-3759 -3622 -3522 1624 0
-2441 3153 1016 2660 0
-109 2871 3966 2539 0
-1550 3796 -4144 1449 0
-3788 -872 3496 -3776 0
2423 -3172 1403 -4330 0
-3107 -2475 -3093 4154 0
1051 2280 4232 4208 0
-2447 3861 -1385 -1352 0
-3263 3258 688 -3758 0
-1120 4189 -2827 -3698 0
2947 1780 -4189 -2524 0
193 -267 4081 -2032 0
-2965 -4181 2170 562 0
1834 -643 -814 -2140 0
2268 -3738 4346 -1931 0
-143 -580 -3258 -3162 0
4268 174 430 594 0
3486 -1436 4399 -691 0
559 -3324 -3274 -1860 0
-1843 4154 -1721 -589 0
-1329 1305 3933 -1739 0
4355 2052 2146 -3154 0
-2480 -2571 -399 -421 0
-3211 3883 2977 2751 0
4067 -378 3469 -4075 0
3789 404 507 4 0
-2093 1789 1768 2436 0
-2079 -3434 -625 -890 0
-167 -789 487 1331 0
583 -267 379 -130 0
-4165 -2979 75 1714 0
-1356 -2029 1977 -761 0
1678 4125 -3282 -1726 0
398 -2166 759 1584 0
2024 1173 -1276 -499 0
-2734 -3467 2749 -1771 0
-1976 2020 -1857 1160 0
-2391 -1694 2813 -3895 0
-2433 -3085 1152 -1291 0
-3618 -34 2216 -1520 0
-3949 -2145 -2860 3998 0
2331 3780 2261 -1488 0
-2430 2130 3068 -299 0
-2833 724 2308 -3555 0
-4346 909 -2913 -4077 0
339 -90 4082 -567 0
2094 -685 3867 -918 0
3048 -281 -84 4279 0
-2671 3091 4365 1617 0
855 39 1288 -2794 0
-3231 -3498 -3683 -3972 0
-4265 649 -1280 640 0
3373 -1989 3126 -587 0
-669 539 3783 3493 0
-3207 -1420 1911 -3429 0
-1470 2972 -2520 3317 0
2698 3037 -1857 1196 0
-2846 3739 -2492 3939 0
-52 -2977 -3091 -272 0
2644 656 -2753 1911 0
-39 2964 -958 -1132 0
3746 -2974 946 2349 0
2780 2502 -2779 -722 0
-2282 -2604 -3213 -2312 0
-1674 -2704 -4303 3674 0
-3086 -3101 -170 1937 0
-3002 -2544 3218 -3709 0
3655 -1795 -1065 -1913 0
1358 2838 -2215 922 0
1765 2076 1892 3103 0
3478 633 995 173 0
3873 -823 2082 1274 0
-209 3086 248 -349 0
1589 -381 -1453 -755 0
-4047 2583 -1536 2793 0
-1771 -1294 -4222 -982 0
905 -2223 -1351 -3904 0
2784 -587 -1494 -659 0
589 826 807 -3461 0
-1002 2857 3065 -2285 0
-4398 -602 -1163 2803 0
-3068 337 -1008 -4129 0
-3549 -219 2889 -2789 0
2036 716 -1908 3716 0
4288 -3638 3347 -2369 0
-547 3364 3833 890 0
-4375 200 2600 4296 0
-2251 -337 -4318 -506 0
-2605 550 1587 930 0
1407 2491 3022 -4272 0
39 -137 -1756 -902 0
-2556 3164 -1970 -398 0
2364 -1877 1584 -2489 0
-105 -1138 -3060 3351 0
2805 1100 -37 2993 0
-2908 201 -4365 -2130 0
230 -3051 -3583 -3680 0
895 -3500 2539 985 0
524 3037 2390 -4373 0
-3779 -3137 3784 1236 0
-2041 -357 -2980 2663 0
-2161 -835 -3076 -1197 0
3093 -2276 3549 2788 0
-1082 2315 -745 -3240 0
-895 -668 -4016 -4271 0
-3112 -2802 -45 3271 0
-668 -2664 -2669 1114 0
-2992 -1460 -3655 -2939 0
2592 1252 -2304 -1515 0
1815 502 494 -992 0
-4145 -242 2566 -624 0
2806 15 1321 3277 0
974 4162 411 4272 0
665 1441 1487 1901 0
-1613 -3666 1290 1459 0
3842 3623 587 581 0
3914 289 -1059 -373 0
-2493 1867 -2777 -2846 0
4215 3031 -1782 -4189 0
-3126 -233 859 -75 0
-571 -1366 -955 -2884 0
-30 957 -2482 1141 0
3046 2107 -1950 3218 0
-502 1484 2735 -1637 0
-3428 -2176 -1389 -44 0
1266 2488 4340 2241 0
-2412 -2294 2695 -2532 0
2101 3863 -3381 -1110 0
-3080 -4266 -2596 -2224 0
4324 222 1959 2825 0
1351 3324 2330 -1505 0
-3831 -296 3870 -3373 0
159 640 -1543 -3570 0
1794 -606 -2517 1422 0
1398 -2026 -491 -4326 0
1130 2628 -2605 -3756 0
-2024 -1165 4322 -2555 0
-1180 2956 3662 -2198 0
1119 326 -399 75 0
-572 -1358 2654 3523 0
1699 3059 2584 3945 0
2742 -288 1885 3118 0
294 927 2359 2443 0
-1979 -1874 -3927 -2824 0
468 -493 3380 2358 0
330 -3774 -1596 -1806 0
2927 -96 -812 -893 0
-3156 798 -1173 563 0
-392 -1773 3888 -611 0
557 -1849 2689 3791 0
-1451 3721 3987 -1254 0
790 3773 -42 3035 0
-1211 2952 -3564 -3816 0
-750 1262 3657 4032 0
-1266 -88 3553 2293 0
2317 -3560 -2701 2243 0
1334 2257 707 -1013 0
1641 3354 -3861 1526 0
-2297 1366 -3118 -3708 0
-3956 569 957 2009 0
1923 2008 3697 4093 0
2024 2089 1371 190 0
-150 -606 -1059 -2999 0
-894 -3743 -1363 2231 0
-1546 -3356 3633 2415 0
-4372 308 -1206 -1727 0
-3705 1006 -3209 -2644 0
1423 -3440 -4174 2945 0
1234 -34 -3982 2350 0
-4280 -3133 -3694 -2830 0
-4094 1935 2434 2838 0
514 2458 -2230 -2415 0
3444 -254 4014 -3027 0
-3196 -255 1991 1031 0
-1628 3670 -1419 -4049 0
2845 2489 -1247 3687 0
1742 589 3751 -2538 0
-118 -403 4333 624 0
-4112 3590 -3694 -2732 0
-1933 -706 2884 2342 0
-2824 -2891 -1364 -517 0
1512 -565 4311 -4173 0
-3450 1674 2718 -2081 0
-2305 1278 -3468 2652 0
1769 1536 3656 -3394 0
-452 -1831 -2332 2644 0
2341 2622 -2930 -2923 0
-149 232 3129 3217 0
-4207 -1702 3845 -4186 0
-2613 -2674 2650 -149 0
2963 1788 -2008 3019 0
692 -1841 -2641 -1919 0
4186 -1801 -41 1612 0
2160 -3204 1084 3848 0
-2934 4263 1786 2851 0
-1376 2315 3645 -312 0
1048 2787 -2634 613 0
-3625 -3942 -3131 -3265 0
-1215 -3408 -4081 1572 0
2116 -1021 -2881 -2504 0
388 -2553 -3926 -823 0
1380 1152 -4286 -504 0
-4341 -3856 3247 1431 0
1071 -3667 -2874 2864 0
-3605 -126 -2688 -3975 0
-3688 -2988 -4153 924 0
-2730 3570 -1718 -579 0
569 -190 -2173 -3750 0
-4069 -2303 1880 -3512 0
-2463 3634 -4180 3385 0
2086 3939 -642 -191 0
4179 3483 -4393 3502 0
-1464 2213 -2669 -1667 0
-2376 1794 2171 1361 0
-1980 216 3854 -508 0
-322 -1617 -1460 2273 0
-845 -2347 1568 423 0
1312 666 -3144 -2521 0
661 4070 892 222 0
-4396 -3619 3674 -1642 0
972 -3469 -61 -239 0
-1442 -4325 -359 -3329 0
3110 1284 4070 -2401 0
3778 592 -1197 -2612 0
-2610 1956 2933 493 0
2426 1584 1206 4340 0
963 2074 1883 -2978 0
-2015 1884 -1001 -1664 0
3843 -758 3894 2806 0
-377 2335 1386 -2447 0
1179 1626 -3952 2488 0
2857 -2533 -2674 3122 0
-1600 1108 908 -1311 0
-2915 4147 1171 3225 0
-2795 -2702 -761 -1204 0
4400 2445 3452 499 0
2740 -2037 -4156 1863 0
-1674 2105 -1268 -3170 0
3407 2189 -2236 1063 0
-1840 609 -4197 1074 0
-3402 -3641 3583 -823 0
-1919 -849 4051 -3565 0
-73 1185 361 -2305 0
1521 834 890 3072 0
-2714 -4372 -1309 561 0
4381 2667 -2714 605 0
101 -432 -2768 -3995 0
-3077 -2796 -4028 -1942 0
-1442 -3151 -1369 -4300 0
277 387 -1810 -542 0
1686 -511 -403 3965 0
2 4321 160 3183 0
3156 -2182 -2187 -3265 0
-483 3724 -3020 2490 0
1461 -2249 -3995 2600 0
-1021 -1621 294 -1105 0
-3863 -430 -3664 342 0
2115 903 2557 3550 0
3185 -1488 -3191 -3099 0
3444 3709 2550 2030 0
1749 839 -1577 -2471 0
1979 -3834 -1994 4036 0
-3632 -2478 -1984 4096 0
3732 -2893 -217 191 0
1286 2731 -897 -783 0
-1777 4222 2052 -2998 0
-935 -2024 1278 -4157 0
-4236 -3177 1740 -2077 0
1478 -198 -419 -2036 0
-1879 -2311 -3942 -3880 0
-32 3295 3723 -3602 0
-4199 2208 4169 1314 0
3513 3003 -1275 301 0
1066 781 2785 -2862 0
1212 -3344 2973 -1420 0
-3077 -1649 -16 1268 0
-799 -3908 967 4006 0
-4387 -1252 -809 2167 0
-349 1794 3718 -1447 0
-1708 -3488 3055 2023 0
-3140 -2262 -1433 -1604 0
-2490 1360 -4255 -2821 0
-2276 3764 -2163 2470 0
-3745 3029 -95 -2289 0
1431 3914 2229 -1639 0
3073 4022 -1218 -2309 0
4312 2448 -1762 -847 0
2442 -3094 3088 4369 0
534 -1162 -812 2690 0
3096 1114 -4361 -3417 0
3309 2157 1438 729 0
-184 3744 -1209 -703 0
3914 4321 -762 -474 0
-2231 -4325 1101 487 0
624 249 525 4186 0
3262 528 3947 3533 0
3821 -3892 376 -2638 0
1300 -3861 2251 -220 0
-2849 -2265 -1193 -144 0
252 1502 -4311 1675 0
3382 -3423 2132 -1800 0
-333 2996 1611 2357 0
-1129 2083 2536 4337 0
-3876 3931 2620 -239 0
1585 551 2925 1618 0
-3569 -2656 222 -2696 0
1132 -82 -2282 3929 0
-1547 -876 -111 -3955 0
857 420 -4205 -4353 0
-1626 -2438 2379 3238 0
1417 2022 3670 -3888 0
977 2067 2119 3761 0
-2563 2622 -1074 -719 0
-64 -2430 1809 3513 0
-2206 -3441 1982 1119 0
3760 -4257 2625 500 0
1081 60 -2229 -1050 0
2314 1566 -3784 -731 0
-1144 -1990 2757 1073 0
2240 -1739 -1819 3599 0
-3370 123 -2443 -3706 0
-2002 843 1463 -3114 0
4223 2504 -3498 2208 0
3052 -4236 1096 -1810 0
1962 -184 -1639 -4127 0
1323 -3971 558 3205 0
4202 -329 401 1559 0
